numeric_discrete,numeric_continuous,ordinal,categorical
6,65.91019305775117,4,A
3,47.942314019703325,3,C
10,49.55256819237402,5,B
7,37.86058293842617,2,A
4,69.39192569099467,1,A
6,35.98997161843916,3,B
9,61.716623117805504,2,A
2,46.3466404698753,2,B
6,44.00633506159681,4,C
10,38.89996428114073,4,A
10,74.10048649407133,5,C
7,52.21491623278394,5,B
4,50.21280437104063,2,C
3,58.86732359554543,2,C
7,43.49167274370037,5,C
7,50.018459552310055,5,D
2,50.56336286812121,2,B
5,44.87854267651867,3,B
4,61.99638079185914,2,B
1,47.81345588504096,3,B
7,34.468679466311706,3,B
5,46.98502636479126,2,A
1,52.49178671713897,1,A
4,41.06506766112392,5,A
0,41.85405206829561,4,C
9,44.537409618739595,2,C
5,62.21235660066961,3,B
8,45.12841977354294,2,D
0,64.29117018551031,5,B
10,43.850495618516646,3,A
10,53.25014136256542,4,B
9,45.53757325780249,4,C
2,57.54083170290472,4,B
6,38.81725845434721,1,A
3,57.42859479577231,3,B
8,51.13869400309684,3,C
2,43.60008183222551,1,D
4,48.33778515289849,3,A
2,65.33854941032175,1,B
6,51.37844504880783,2,C
4,42.97271984087361,5,A
8,37.95306717171887,4,A
6,55.054042734309974,1,C
1,51.958452470106856,1,B
3,56.95020695088223,1,B
8,35.37775260310158,2,B
1,38.277395471085,1,A
9,61.468791992518995,5,D
8,53.3134164677934,5,A
9,55.33400851237562,4,B
4,40.37312967892046,2,A
1,40.190128016710815,5,D
3,59.912586581920884,3,A
6,60.38377654765149,3,C
7,39.11680512970946,3,B
2,37.20629504147155,1,B
0,48.91407029287556,1,B
3,42.00651546623994,3,A
1,41.79823120953974,4,A
7,37.48621753572607,4,A
3,45.31566151719633,1,B
1,38.45305257367134,3,A
5,39.045990969907635,4,B
5,52.983918465663045,1,A
9,49.448017657126236,3,B
3,54.84878681532132,2,C
5,33.50966564650693,3,A
1,50.09880609829763,3,B
9,70.75637542165838,5,C
1,46.27727515714401,5,C
9,58.24749006572298,2,D
3,58.16006848774423,2,A
7,58.651986080012755,3,B
6,51.66661687057323,4,D
8,55.66085982744214,2,A
7,56.99013620013005,3,C
4,56.35446028314358,1,A
1,38.82581826486604,5,B
4,32.92615517456014,4,C
7,34.46416456585193,3,D
9,47.298400076173365,1,A
8,55.939267344226444,5,A
8,38.95588722488415,1,D
0,59.23970458584404,3,A
8,44.977248254921136,2,A
6,45.07244788805921,5,A
8,41.638930041204,1,C
7,31.15213640983726,2,C
0,52.29314128434647,4,B
7,67.1266771283857,3,A
7,49.37335476467437,3,B
10,31.493683583051475,5,C
2,57.80342811616446,1,A
0,33.75202009897011,4,B
7,37.909656030108145,5,A
2,47.616618276864294,5,A
2,51.22843438540198,1,D
0,39.91335998833172,4,B
10,47.22683943434019,1,C
4,57.15162400760685,3,B
9,58.521788848080185,2,B
6,62.514564218142645,3,B
9,69.09418652293493,3,D
8,58.09889321661117,5,A
6,47.83263485595759,3,C
8,58.593137911229725,4,D
7,54.66716234005182,3,C
1,55.06366977526255,4,D
0,51.772187850716854,1,A
6,40.87945897846093,5,C
6,39.7190359217807,4,B
7,49.02881798924857,3,D
4,51.48910075846372,5,C
2,43.20559077068287,5,A
7,54.23341948608575,4,C
5,70.8076590403919,4,D
10,32.55669280721742,2,A
2,55.82244477563761,2,B
0,49.3402537910919,5,D
2,54.506555553346544,2,D
4,45.69285299539709,3,A
2,48.53940114952833,1,D
0,51.29500451008099,5,C
4,46.983661164647394,1,B
9,34.794586826301014,2,C
6,47.66084969355547,4,A
6,35.83566371803806,5,D
10,56.531931105803096,2,B
8,31.344548989218776,3,A
9,60.286543794558895,5,C
9,54.2956300020348,5,D
2,54.333886157338945,4,D
6,28.356901321521605,5,A
0,46.71400561908444,4,C
3,61.5356342865986,2,D
3,44.81392020969705,3,C
4,39.21937850036286,3,B
6,43.63329904994288,5,D
6,49.31722377360662,5,B
10,41.48629549687189,2,D
3,62.33817232089294,4,A
6,49.353324700096074,3,D
10,44.44430652052072,4,D
2,36.98656473164421,2,C
5,54.84446605278938,3,C
1,54.61666294711363,3,B
9,42.07791093815308,1,B
8,27.636709716858547,2,B
4,54.10762189575884,2,D
5,48.131966087389976,1,D
3,53.36071167925669,4,B
10,69.57174533639639,1,A
9,49.7316815629094,2,A
6,44.861613831572285,4,D
8,38.5267803235166,3,A
6,46.87578208504951,1,A
0,51.60577349615641,4,B
0,50.5330742059876,4,A
8,67.23465340067102,4,A
10,54.99085565465943,1,D
8,48.6519912849279,3,D
3,42.93439421166527,4,D
8,52.666727637833205,1,A
2,40.92991841617341,2,B
6,51.79831079537907,1,C
5,54.874139269048435,1,D
7,47.83547777228552,1,D
10,43.69713555934858,4,D
8,28.14703152665094,1,B
4,61.438367264203904,2,C
0,54.03300390245282,4,C
2,54.27617281584782,2,D
9,34.386476642227,5,A
7,63.79838699740057,1,D
10,45.3478313338192,4,D
5,47.112046973005135,4,A
7,39.30713144581175,1,A
8,32.130542686601515,3,D
3,61.57346311723567,3,B
0,62.865973693976244,2,B
0,48.344718486466725,1,A
9,43.2061543019365,1,D
3,46.22955830865742,5,B
6,46.5038500996445,3,D
1,38.00140277820402,3,D
2,47.0774478455616,1,D
0,51.53101992934325,2,B
4,60.18157247648752,1,C
0,50.14244164013712,2,D
7,34.23648291100564,3,B
0,53.53547863198676,5,C
10,47.440694383302464,4,A
0,63.704096939838664,3,B
1,64.29457802044007,2,C
1,64.644543122673,1,B
5,44.384120646267206,3,C
6,69.89855073337557,5,C
4,53.50942504895707,2,B
0,66.26380405668633,1,A
0,44.973803861682406,4,D
2,47.01403262390374,2,C
1,52.740273526720856,1,D
4,51.5187760961394,4,A
9,62.5481194346917,1,D
5,47.67870681451546,4,D
6,61.64614990310356,4,B
3,57.32234507132653,4,B
6,47.86607781392851,1,A
10,56.546766174823134,4,B
7,45.26734953166951,2,C
10,73.50205800005722,5,A
0,23.35667678925553,5,B
5,56.72943204495039,4,B
7,32.35404090722953,5,A
4,47.74343296781932,5,C
3,49.14391910528754,4,A
1,65.07633558913685,4,B
5,43.078477879231095,2,B
5,63.08011915661778,3,A
10,38.21183359775203,1,C
0,63.46669723754866,4,C
8,45.25654558096527,4,D
10,50.73434519241119,5,C
5,46.63621336889596,2,A
2,62.82363474115604,5,C
3,60.87739843233747,4,C
10,54.43501720584525,4,D
3,38.48131615413226,5,C
2,42.84978131969757,4,D
9,39.71423474493875,3,D
2,27.518571132078367,1,C
2,62.61318101850046,1,B
3,46.72176473657303,1,A
6,46.61506035707703,3,A
3,64.9610223342556,4,C
8,45.24011397613632,5,A
0,41.59529064314069,2,A
7,47.752543794850155,4,D
6,38.67330948123104,3,B
1,53.443557692879565,3,A
7,46.2633792173583,1,B
0,44.927285894061875,4,A
10,44.06096827979698,1,B
8,48.93778506157989,2,B
8,50.83481125519851,1,A
1,44.800249115924785,2,D
6,46.41234063904853,3,B
9,49.184771731806514,1,B
2,48.17581864460461,1,A
6,50.31075966875014,5,B
9,43.23329196751986,3,B
8,60.0459290912649,5,D
3,50.968281774095175,2,B
0,44.96153247175123,2,D
1,53.44384217378535,3,B
0,49.256314011812854,2,B
4,32.66173645516332,3,D
4,53.409526902216264,2,D
10,39.80493797615813,4,C
6,59.344277832313075,1,B
8,47.58250361106553,4,D
8,57.80070297391064,3,B
2,43.69781446802393,3,B
2,50.6992926714064,4,B
2,62.10243500506876,1,A
3,47.30983453585178,1,C
7,44.09182901264195,5,A
5,56.550406137817895,2,C
7,56.356615967509605,5,B
0,44.51250866585181,1,B
